,age,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,class
978,34,divorced,tertiary,262.0,no,no,20,nov,371,1,-1,0,no
251,32,married,tertiary,2349.0,no,no,14,aug,134,5,-1,0,no
3139,34,single,secondary,1076.0,no,no,8,aug,70,2,-1,0,no
1822,31,married,tertiary,156.0,no,no,13,aug,657,7,-1,0,yes
4445,46,married,primary,258.0,yes,no,27,may,217,1,-1,0,no
3159,35,married,secondary,725.0,yes,no,20,nov,219,7,133,1,no
4299,37,married,secondary,0.0,yes,yes,31,jul,187,2,-1,0,no
2063,39,married,primary,694.0,yes,no,21,nov,44,1,-1,0,no
3815,31,married,tertiary,623.0,yes,no,13,may,96,2,349,5,no
2185,40,married,secondary,1438.0,yes,no,6,may,207,1,351,2,no
325,33,married,secondary,6699.0,no,no,9,nov,425,1,462,1,no
1859,32,married,secondary,0.0,yes,no,8,may,80,2,-1,0,no
2924,49,married,secondary,2039.0,yes,no,6,may,451,1,169,2,yes
2710,44,divorced,secondary,0.0,yes,no,4,jun,389,5,-1,0,no
803,57,single,secondary,254.0,no,no,8,oct,676,1,-1,0,no
2323,40,married,secondary,2.0,no,no,22,aug,197,5,-1,0,no
1044,44,married,tertiary,178.0,no,no,8,aug,126,2,-1,0,no
2566,34,married,unknown,1387.0,no,no,30,apr,121,1,-1,0,no
2029,59,divorced,tertiary,0.0,yes,no,31,jul,52,8,-1,0,no
1657,38,married,tertiary,669.0,yes,yes,31,jul,129,2,-1,0,no
1362,47,married,secondary,2597.0,yes,no,16,may,323,1,-1,0,no
2342,39,married,primary,385.0,yes,no,16,may,225,4,-1,0,no
3155,55,single,tertiary,-703.0,yes,no,8,may,123,3,-1,0,no
620,33,married,primary,3704.0,yes,no,6,jun,447,2,-1,0,no
2963,31,single,tertiary,12569.0,no,no,9,sep,344,1,295,1,yes
3357,53,married,primary,25.0,yes,no,6,may,266,3,-1,0,no
2644,36,married,tertiary,9.0,no,no,11,aug,386,4,-1,0,yes
2704,58,married,secondary,2705.0,no,no,14,aug,137,1,-1,0,no
328,35,married,secondary,978.0,no,no,29,dec,1370,3,209,3,yes
4413,65,married,primary,493.0,no,no,16,oct,622,1,182,1,no
527,49,divorced,secondary,66.0,no,no,9,jul,218,3,-1,0,no
897,31,married,secondary,1354.0,yes,yes,17,nov,222,2,-1,0,no
1662,50,married,primary,1164.0,yes,no,8,may,166,2,-1,0,no
99,31,single,primary,406.0,no,no,4,feb,736,1,-1,0,yes
1502,49,married,secondary,635.0,no,no,25,aug,220,3,-1,0,no
4204,49,married,primary,902.0,no,no,9,jun,210,2,-1,0,no
1292,49,married,secondary,1091.0,no,no,30,jul,47,2,-1,0,no
977,44,married,tertiary,134.0,no,no,28,aug,86,4,-1,0,no
2437,37,single,secondary,0.0,yes,no,16,apr,640,2,-1,0,no
1351,43,divorced,tertiary,99.0,no,no,29,jan,24,3,-1,0,no
2908,35,married,secondary,13658.0,yes,no,9,dec,220,2,-1,0,no
3524,45,married,secondary,0.0,no,yes,8,jul,47,7,-1,0,no
1503,56,married,secondary,-113.0,yes,yes,12,aug,614,2,-1,0,no
3834,36,married,secondary,189.0,yes,no,19,nov,136,1,120,1,no
657,64,married,primary,43.0,no,no,11,mar,117,1,91,1,no
495,48,divorced,tertiary,1328.0,yes,no,6,may,339,1,-1,0,no
2468,28,single,secondary,1323.0,yes,no,3,jun,361,1,-1,0,no
354,29,married,tertiary,318.0,yes,no,18,may,1434,2,356,4,no
2649,33,married,secondary,640.0,yes,no,3,feb,439,3,-1,0,no
3135,48,married,tertiary,1808.0,yes,no,26,feb,245,1,-1,0,yes
2917,41,single,tertiary,1646.0,yes,no,4,feb,261,1,184,6,yes
2414,52,married,secondary,118.0,no,no,28,aug,16,20,-1,0,no
501,58,married,secondary,2.0,yes,yes,25,jul,282,9,-1,0,no
4222,45,divorced,tertiary,220.0,yes,no,18,jun,89,4,-1,0,no
1323,46,married,primary,91.0,yes,no,6,may,29,1,356,2,no
809,34,married,tertiary,703.0,yes,no,14,apr,342,1,-1,0,yes
4264,57,married,secondary,162.0,yes,no,5,may,174,1,-1,0,no
2121,24,single,secondary,508.0,yes,no,18,may,12,3,374,1,no
3296,58,married,secondary,590.0,no,yes,5,jun,133,1,-1,0,no
4158,43,married,primary,483.0,yes,no,12,may,225,3,-1,0,no
1391,21,single,secondary,361.0,no,no,5,jun,329,1,95,1,no
2749,39,married,secondary,994.0,no,no,5,feb,221,1,241,1,no
605,31,married,secondary,88.0,yes,yes,8,aug,189,2,-1,0,no
2223,42,divorced,secondary,47.0,yes,yes,8,may,141,1,-1,0,no
1533,32,single,secondary,1721.0,yes,no,21,may,650,2,-1,0,no
2505,56,divorced,tertiary,-59.0,no,yes,28,jul,127,6,-1,0,no
4245,41,married,tertiary,6563.0,no,no,27,aug,136,8,-1,0,no
2127,32,divorced,tertiary,267.0,no,no,26,may,128,1,-1,0,no
3378,34,married,secondary,0.0,yes,no,13,may,172,1,-1,0,no
3521,36,married,tertiary,860.0,yes,no,20,may,294,15,-1,0,no
2822,38,married,tertiary,170.0,yes,no,18,may,442,1,-1,0,yes
100,36,married,secondary,0.0,yes,no,6,may,337,1,-1,0,no
12,36,married,tertiary,1109.0,no,no,13,aug,328,2,-1,0,no
3441,31,married,secondary,0.0,yes,yes,18,nov,79,3,-1,0,no
2236,32,divorced,secondary,-18.0,yes,no,12,may,155,3,-1,0,no
3406,24,single,secondary,926.0,yes,yes,15,may,191,1,-1,0,no
1255,33,married,secondary,0.0,yes,yes,19,nov,163,2,-1,0,no
174,42,married,tertiary,9009.0,no,no,20,nov,135,2,-1,0,no
1103,55,married,unknown,1665.0,no,no,30,jul,89,2,-1,0,no
1378,41,married,primary,951.0,yes,no,20,apr,23,4,-1,0,no
1057,23,single,tertiary,736.0,yes,no,30,apr,119,1,-1,0,no
2700,64,divorced,tertiary,890.0,no,no,3,jul,531,3,-1,0,no
2929,27,single,tertiary,0.0,yes,no,30,jan,323,4,-1,0,no
2436,51,married,secondary,117.0,no,no,24,aug,467,2,88,4,yes
1611,46,divorced,tertiary,1297.0,no,no,11,aug,716,3,-1,0,yes
3918,45,married,secondary,49.0,no,no,29,jul,65,2,-1,0,no
217,30,married,secondary,975.0,yes,no,13,may,256,2,351,2,no
3887,27,single,tertiary,212.0,yes,no,15,may,373,1,-1,0,no
3979,32,single,tertiary,751.0,yes,no,8,,64,1,-1,0,no
2465,44,single,primary,4232.0,no,no,16,jun,227,1,-1,0,no
2610,31,married,tertiary,5191.0,no,no,20,nov,187,2,-1,0,no
690,55,single,secondary,3339.0,yes,no,2,jun,63,1,-1,0,no
4232,38,single,secondary,-242.0,yes,no,18,may,1173,3,278,6,yes
567,36,divorced,tertiary,3611.0,yes,no,4,jun,347,3,-1,0,no
3660,32,single,secondary,249.0,yes,no,2,jun,258,1,-1,0,no
3838,47,married,secondary,-614.0,yes,no,26,may,118,2,-1,0,no
2652,50,married,secondary,1011.0,yes,no,30,jul,340,2,-1,0,no
3389,46,divorced,secondary,361.0,yes,no,19,may,86,7,-1,0,no
1425,36,married,tertiary,495.0,no,no,5,aug,157,3,97,2,yes
2244,58,single,tertiary,145.0,yes,yes,16,jul,128,2,-1,0,no
2053,24,single,secondary,-46.0,yes,no,19,may,23,1,-1,0,no
1032,46,single,primary,538.0,no,no,17,jun,118,3,-1,0,no
3268,44,married,secondary,788.0,yes,no,17,apr,392,1,-1,0,no
3238,53,divorced,secondary,0.0,yes,yes,30,apr,586,2,-1,0,no
2666,31,single,tertiary,574.0,yes,no,16,jul,410,2,-1,0,no
3797,30,single,tertiary,2325.0,no,no,5,apr,270,3,241,4,no
1978,54,married,unknown,310.0,yes,no,28,jan,526,4,258,3,no
3309,28,single,secondary,618.0,yes,no,7,may,281,1,-1,0,no
1397,31,married,secondary,631.0,yes,no,23,may,248,4,-1,0,no
618,30,married,tertiary,1570.0,yes,no,26,may,260,1,-1,0,no
576,44,married,secondary,0.0,yes,yes,11,may,161,1,-1,0,no
1456,36,married,secondary,-423.0,yes,yes,13,may,106,1,-1,0,no
650,33,single,tertiary,23663.0,yes,no,16,apr,199,2,146,2,no
3946,28,married,secondary,934.0,yes,no,4,jul,53,2,-1,0,no
156,55,married,secondary,602.0,no,no,1,jun,324,3,90,2,yes
831,47,married,secondary,1996.0,no,no,5,jun,761,2,-1,0,yes
888,43,married,primary,757.0,yes,no,9,may,315,4,-1,0,no
3184,34,single,tertiary,5086.0,no,no,25,may,213,4,-1,0,yes
1231,37,divorced,secondary,490.0,yes,no,2,feb,73,1,-1,0,no
2202,29,married,tertiary,199.0,yes,yes,7,may,1689,4,-1,0,yes
817,37,single,secondary,-244.0,no,no,3,jul,178,1,-1,0,no
1964,33,married,primary,50.0,yes,no,7,may,246,2,-1,0,no
293,53,divorced,secondary,0.0,yes,yes,15,jul,135,5,-1,0,no
4468,42,married,primary,1.0,yes,no,28,jul,59,5,-1,0,no
990,46,married,tertiary,964.0,yes,no,8,apr,174,1,-1,0,no
4368,54,divorced,secondary,1012.0,yes,no,12,may,33,3,175,2,no
353,50,married,tertiary,4.0,no,no,17,nov,223,1,96,2,no
3404,25,single,tertiary,453.0,yes,no,17,jul,134,1,-1,0,no
2115,42,married,primary,145.0,no,no,20,aug,252,2,-1,0,no
2258,70,married,primary,3782.0,no,no,16,mar,618,1,-1,0,no
1912,54,married,secondary,0.0,no,no,16,apr,1366,1,150,1,no
1258,48,married,secondary,741.0,yes,no,16,apr,227,1,-1,0,no
2107,35,divorced,tertiary,649.0,no,no,16,apr,177,1,-1,0,no
52,38,single,secondary,50.0,no,no,29,aug,98,2,-1,0,no
2778,58,married,secondary,602.0,yes,no,13,may,201,1,-1,0,no
3631,55,married,secondary,4194.0,no,yes,30,jul,208,3,-1,0,no
4154,56,married,secondary,800.0,no,yes,9,jul,170,1,-1,0,no
2302,28,single,secondary,769.0,yes,no,15,may,153,1,371,2,no
1860,48,married,secondary,99.0,yes,no,28,may,344,1,-1,0,no
3830,57,married,tertiary,27069.0,no,yes,20,jun,174,3,-1,0,no
3647,36,single,secondary,0.0,no,no,13,aug,333,5,-1,0,no
3483,40,married,tertiary,7780.0,no,no,4,may,364,1,355,1,no
1338,52,married,secondary,-888.0,no,no,16,jul,135,1,-1,0,no
1117,42,single,tertiary,-411.0,yes,no,12,may,78,5,292,3,no
30,68,divorced,secondary,4189.0,no,no,14,,897,2,-1,0,yes
4379,41,married,primary,1172.0,yes,no,15,may,153,1,-1,0,no
3652,29,single,secondary,1070.0,yes,no,19,may,30,1,357,1,yes
436,31,married,tertiary,259.0,yes,no,7,may,47,1,-1,0,no
912,43,single,tertiary,1017.0,yes,no,19,may,257,2,-1,0,no
3538,30,single,tertiary,302.0,no,no,11,feb,528,3,-1,0,yes
4072,45,married,primary,0.0,no,no,23,,574,5,-1,0,no
3632,35,single,unknown,0.0,no,no,28,jan,122,3,-1,0,no
1786,37,single,secondary,1175.0,yes,no,15,may,102,1,333,2,no
1128,43,divorced,secondary,167.0,no,no,4,aug,211,3,-1,0,no
903,34,married,tertiary,35.0,yes,no,15,oct,76,1,69,2,no
2586,35,single,secondary,376.0,yes,yes,6,may,207,3,-1,0,no
2177,27,single,secondary,671.0,yes,no,7,may,332,2,-1,0,no
2648,51,married,secondary,397.0,yes,no,20,aug,293,2,-1,0,no
183,40,divorced,secondary,6.0,no,no,11,jun,140,1,-1,0,no
1207,36,married,primary,177.0,yes,no,12,may,63,5,-1,0,no
