age,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,class
30,married,primary,1787,no,no,19,oct,79,1,-1,0,no
33,married,secondary,4789,yes,yes,11,may,220,1,339,4,no
35,single,tertiary,1350,yes,no,16,apr,185,1,330,1,no
30,married,tertiary,1476,yes,yes,3,jun,199,4,-1,0,no
59,married,secondary,0,yes,no,5,may,226,1,-1,0,no
35,single,tertiary,747,no,no,23,feb,141,2,176,3,no
36,married,tertiary,307,yes,no,14,may,341,1,330,2,no
39,married,secondary,147,yes,no,6,may,151,2,-1,0,no
41,married,tertiary,221,yes,no,14,may,57,2,-1,0,no
43,married,primary,-88,yes,yes,17,apr,313,1,147,2,no
39,married,secondary,9374,yes,no,20,may,273,1,-1,0,no
43,married,secondary,264,yes,no,17,apr,113,2,-1,0,no
36,married,tertiary,1109,no,no,13,aug,328,2,-1,0,no
20,single,secondary,502,no,no,30,apr,261,1,-1,0,yes
31,married,secondary,360,yes,yes,29,jan,89,1,241,1,no
40,married,tertiary,194,no,yes,29,aug,189,2,-1,0,no
56,married,secondary,4073,no,no,27,aug,239,5,-1,0,no
37,single,tertiary,,yes,no,20,apr,114,1,152,2,no
25,single,primary,-221,yes,no,23,may,250,1,-1,0,no
31,married,secondary,132,no,no,7,jul,148,1,152,1,no
38,divorced,unknown,0,yes,no,18,nov,96,2,-1,0,no
42,divorced,tertiary,16,no,no,19,nov,140,3,-1,0,no
44,single,secondary,106,no,no,12,jun,109,2,-1,0,no
44,married,secondary,93,no,no,7,jul,125,2,-1,0,no
26,married,tertiary,543,no,no,30,jan,169,3,-1,0,no
41,married,tertiary,5883,no,no,20,nov,182,2,-1,0,no
55,married,primary,627,yes,no,5,may,247,1,-1,0,no
67,married,unknown,696,no,no,17,aug,119,1,105,2,no
56,married,secondary,784,no,yes,30,jul,149,2,-1,0,no
53,married,secondary,105,no,yes,21,aug,74,2,-1,0,no
68,divorced,secondary,4189,no,no,14,,897,2,-1,0,yes
31,married,secondary,171,no,no,27,aug,81,3,-1,0,no
59,married,secondary,42,no,no,21,nov,40,1,-1,0,no
32,single,,2536,yes,no,26,aug,958,6,-1,0,yes
49,married,tertiary,1235,no,no,13,aug,354,3,-1,0,yes
42,divorced,secondary,1811,yes,no,14,may,150,1,-1,0,no
78,divorced,primary,229,no,no,22,oct,97,1,-1,0,yes
32,married,secondary,2089,yes,no,14,nov,132,1,-1,0,yes
33,married,secondary,3935,yes,no,6,may,765,1,342,2,yes
23,single,tertiary,363,yes,no,30,may,16,18,-1,0,no
38,single,tertiary,,yes,no,17,nov,609,2,101,3,no
36,single,tertiary,553,no,no,11,aug,106,2,-1,0,no
52,married,secondary,1117,yes,no,13,may,365,1,-1,0,no
32,married,tertiary,,yes,no,13,may,205,3,-1,0,no
32,single,tertiary,2204,yes,no,21,nov,11,4,-1,0,no
34,single,tertiary,872,yes,no,7,may,105,2,-1,0,no
55,married,primary,145,no,no,2,feb,59,3,5,2,no
26,married,primary,0,yes,no,21,may,425,1,-1,0,no
32,single,primary,-849,yes,yes,4,feb,204,1,-1,0,no
61,married,unknown,4629,yes,no,27,jan,181,1,92,1,yes
45,divorced,primary,844,no,no,5,jun,1018,3,-1,0,yes
37,single,secondary,228,yes,no,20,aug,1740,2,-1,0,no
38,single,secondary,50,no,no,29,aug,98,2,-1,0,no
34,married,tertiary,1539,yes,no,15,jun,441,1,56,1,yes
53,married,secondary,2231,yes,no,14,jul,272,3,-1,0,no
48,married,secondary,3064,yes,no,15,jul,159,2,-1,0,no
57,married,secondary,82,no,yes,4,feb,140,1,-1,0,no
33,single,tertiary,2155,no,no,17,nov,295,1,-1,0,no
36,single,secondary,101,yes,yes,26,may,314,1,-1,0,no
54,divorced,secondary,784,yes,yes,15,may,579,1,-1,0,no
41,married,primary,-516,no,yes,8,jul,554,3,-1,0,no
63,married,secondary,415,yes,no,7,oct,323,1,-1,0,no
48,married,tertiary,5887,no,no,13,aug,227,2,-1,0,no
48,married,secondary,1355,no,no,4,jul,134,2,-1,0,no
56,married,secondary,16873,no,no,7,oct,223,1,-1,0,no
51,divorced,secondary,203,yes,no,8,may,134,1,170,5,no
31,married,secondary,338,yes,no,28,jan,155,1,-1,0,no
29,married,secondary,444,yes,no,21,jul,130,4,-1,0,no
41,married,secondary,0,no,yes,7,jul,630,3,-1,0,no
32,single,tertiary,360,no,no,19,nov,164,2,-1,0,no
37,married,tertiary,0,no,no,16,jul,268,2,182,3,yes
42,divorced,tertiary,2,yes,no,5,may,380,1,-1,0,no
31,single,tertiary,6248,yes,no,9,may,154,2,-1,0,no
41,married,tertiary,412,yes,no,3,jun,154,5,-1,0,no
56,married,secondary,344,yes,no,15,may,221,1,-1,0,no
54,divorced,tertiary,3222,no,no,14,aug,67,2,-1,0,no
41,divorced,secondary,174,yes,no,14,may,367,2,297,1,no
40,single,secondary,591,no,yes,14,aug,87,6,-1,0,no
50,divorced,primary,388,no,no,5,feb,701,1,-1,0,no
40,married,secondary,219,yes,no,17,nov,204,2,196,1,no
27,divorced,secondary,451,yes,no,16,jul,652,1,-1,0,yes
60,married,primary,5,no,no,26,aug,63,2,-1,0,no
28,single,secondary,177,yes,yes,6,may,150,1,-1,0,no
52,married,secondary,657,no,no,7,jul,398,2,460,2,yes
37,married,tertiary,1315,no,no,30,jun,224,1,-1,0,yes
51,married,primary,1466,yes,no,7,may,406,2,-1,0,no
41,single,secondary,879,no,yes,7,jul,60,4,-1,0,no
35,single,primary,293,yes,no,30,may,521,2,-1,0,no
38,married,secondary,424,yes,no,17,apr,279,1,-1,0,no
34,married,secondary,,yes,no,20,may,203,2,-1,0,no
39,married,primary,111,no,no,18,nov,201,2,-1,0,no
34,married,primary,455,yes,no,20,jun,372,3,-1,0,no
27,single,secondary,-195,yes,no,18,may,391,1,-1,0,yes
32,single,tertiary,3616,no,no,14,aug,165,2,-1,0,no
57,married,secondary,14093,no,no,11,aug,231,5,-1,0,no
41,single,tertiary,1567,no,no,1,jul,291,2,-1,0,no
41,married,tertiary,5426,yes,no,14,may,149,2,-1,0,no
30,single,tertiary,261,no,no,19,oct,233,1,137,20,no
36,divorced,secondary,2843,no,no,12,feb,473,1,182,1,no
31,single,primary,406,no,no,4,feb,736,1,-1,0,yes
36,married,secondary,0,yes,no,6,may,337,1,-1,0,no
38,single,tertiary,493,yes,no,11,may,553,1,367,7,no
49,married,secondary,5996,no,no,21,nov,345,2,-1,0,no
57,single,primary,3777,yes,no,13,may,65,2,-1,0,no
34,single,secondary,524,no,no,13,aug,9,1,-1,0,no
32,single,tertiary,574,yes,no,14,apr,259,2,145,3,no
37,married,secondary,427,yes,yes,9,jun,371,3,-1,0,no
33,married,tertiary,483,yes,no,3,feb,280,2,-1,0,no
56,married,primary,3391,no,no,21,apr,243,1,-1,0,yes
27,married,primary,0,yes,no,23,jul,435,3,-1,0,no
21,single,secondary,2488,no,no,30,jun,258,6,169,3,yes
58,married,tertiary,1517,yes,no,29,jul,7,5,-1,0,no
32,married,secondary,217,yes,yes,15,jul,317,5,-1,0,no
33,single,secondary,22,no,no,30,jan,76,2,207,1,no
25,single,secondary,331,no,no,26,aug,170,4,-1,0,yes
25,single,secondary,505,no,yes,17,nov,386,2,-1,0,yes
30,married,secondary,1808,yes,no,18,may,83,2,-1,0,no
22,single,secondary,4111,no,yes,19,aug,65,1,-1,0,no
39,married,primary,52,no,no,13,aug,69,1,-1,0,no
46,divorced,tertiary,25,no,no,17,jun,564,2,-1,0,no
31,divorced,secondary,1890,yes,no,21,jul,588,1,-1,0,no
45,married,primary,419,no,no,18,aug,113,4,-1,0,no
32,married,secondary,2693,yes,no,21,may,16,1,-1,0,no
36,married,secondary,-231,no,yes,15,jul,779,2,-1,0,no
51,single,tertiary,-55,yes,no,11,may,281,2,266,6,no
34,single,tertiary,462,no,no,21,aug,1877,3,-1,0,yes
24,single,secondary,119,no,no,15,sep,51,1,-1,0,no
45,single,secondary,586,no,yes,28,jul,32,3,-1,0,no
32,single,secondary,228,no,no,5,feb,176,1,288,3,no
77,divorced,tertiary,4659,no,no,14,apr,161,1,-1,0,yes
41,married,primary,168,yes,no,18,nov,187,3,-1,0,no
37,married,primary,0,yes,no,26,may,24,1,-1,0,no
43,married,unknown,-715,yes,no,30,may,67,3,-1,0,no
48,married,unknown,0,yes,no,8,may,85,1,168,2,no
27,single,secondary,769,yes,no,9,may,317,2,-1,0,no
33,single,tertiary,0,no,no,28,aug,236,10,-1,0,no
29,single,secondary,428,yes,yes,7,may,54,1,345,2,no
34,single,tertiary,0,no,no,5,feb,71,1,-1,0,no
52,married,tertiary,-970,yes,no,4,feb,489,1,-1,0,yes
60,married,unknown,6313,no,no,19,jun,39,2,-1,0,no
32,divorced,tertiary,948,no,no,12,aug,204,2,-1,0,no
32,single,tertiary,0,yes,no,22,jul,455,2,-1,0,no
56,divorced,unknown,1877,yes,no,30,may,86,1,-1,0,no
31,single,tertiary,874,yes,no,18,nov,190,2,-1,0,no
42,married,secondary,323,yes,yes,8,may,280,2,-1,0,no
35,married,tertiary,106,no,yes,11,aug,588,2,-1,0,no
56,married,primary,1906,no,yes,19,jun,45,9,-1,0,no
48,married,secondary,1152,yes,no,21,jul,168,5,-1,0,no
46,married,secondary,179,yes,no,29,jan,194,4,436,1,no
37,single,unknown,391,yes,no,8,may,103,3,-1,0,no
